Gmt time,Open,High,Low,Close,Volume
11.10.2024 06:00:00.000,2644.635,2647.075,2637.868,2639.365,3357479.9926
11.10.2024 07:00:00.000,2639.325,2645.445,2638.195,2645.245,2281749.9917000006
11.10.2024 08:00:00.000,2645.265,2646.065,2638.975,2639.128,1704590.0115999999
11.10.2024 09:00:00.000,2639.108,2641.518,2636.025,2637.765,2001230.0094000003
11.10.2024 10:00:00.000,2637.725,2642.135,2636.945,2641.465,834229.9994000002
11.10.2024 11:00:00.000,2641.485,2644.715,2638.565,2644.585,1255770.0008000003
11.10.2024 12:00:00.000,2644.535,2649.998,2640.465,2642.955,4967009.975400001
11.10.2024 13:00:00.000,2642.955,2653.215,2642.495,2649.228,5272030.010900002
11.10.2024 14:00:00.000,2649.275,2655.188,2646.284,2652.975,4543630.0093
11.10.2024 15:00:00.000,2652.945,2659.098,2652.945,2658.655,2942579.9912
11.10.2024 16:00:00.000,2658.635,2661.258,2657.728,2660.338,2091729.9907999996
11.10.2024 17:00:00.000,2660.348,2661.108,2656.135,2659.374,1755000.0040999998
11.10.2024 18:00:00.000,2659.418,2659.418,2655.965,2658.525,1278799.9895000004
11.10.2024 19:00:00.000,2658.488,2658.705,2655.148,2656.028,1713920.0011000005
11.10.2024 20:00:00.000,2656.015,2657.175,2654.598,2656.835,643869.9993000001
13.10.2024 22:00:00.000,2656.298,2656.775,2644.985,2650.065,1679020.0093000005
13.10.2024 23:00:00.000,2650.145,2650.485,2647.445,2647.865,1457240.0059
14.10.2024 00:00:00.000,2647.935,2648.225,2644.975,2646.574,1669170.0062000002
14.10.2024 01:00:00.000,2646.574,2648.375,2643.375,2646.015,3145590.0113999997
14.10.2024 02:00:00.000,2645.955,2655.355,2643.058,2655.045,2426739.9916
14.10.2024 03:00:00.000,2655.025,2657.285,2653.564,2655.445,1010460.0017
14.10.2024 04:00:00.000,2655.435,2660.305,2655.145,2659.085,643780.0003
14.10.2024 05:00:00.000,2659.035,2660.575,2656.945,2658.875,1241849.9988999995
14.10.2024 06:00:00.000,2658.885,2666.705,2657.295,2663.884,2426159.9946999997
14.10.2024 07:00:00.000,2663.975,2665.055,2659.005,2660.298,1871360.0023999994
14.10.2024 08:00:00.000,2660.295,2661.764,2658.235,2659.305,1540329.9977000002
14.10.2024 09:00:00.000,2659.315,2662.885,2656.625,2658.385,1080870.0007
14.10.2024 10:00:00.000,2658.365,2660.778,2655.725,2655.725,1711299.9989999996
14.10.2024 11:00:00.000,2655.715,2656.685,2650.935,2651.995,1428600.0007
14.10.2024 12:00:00.000,2651.995,2654.445,2649.095,2651.255,3597614.9994999995
14.10.2024 13:00:00.000,2651.255,2661.065,2647.584,2655.335,3293920.0088000004
14.10.2024 14:00:00.000,2655.335,2656.908,2644.585,2645.495,5117731.0274
14.10.2024 15:00:00.000,2645.585,2648.985,2643.835,2646.625,2184730.0069000004
14.10.2024 16:00:00.000,2646.645,2649.615,2645.735,2648.435,707909.9996999999
14.10.2024 17:00:00.000,2648.435,2649.765,2647.125,2648.495,554159.9991
14.10.2024 18:00:00.000,2648.495,2650.805,2648.335,2649.125,482359.9977999999
14.10.2024 19:00:00.000,2649.125,2652.498,2646.865,2652.348,1783060.0094000003
14.10.2024 20:00:00.000,2652.385,2653.198,2646.025,2648.424,354000.00059999997
14.10.2024 21:00:00.000,2648.424,2648.424,2648.424,2648.424,0
14.10.2024 22:00:00.000,2646.905,2650.134,2646.805,2649.835,569850.0021
14.10.2024 23:00:00.000,2649.885,2650.835,2648.815,2649.255,469589.99779999995
